X,RecordID_ALA,COLLECTION.ID,CatalogNumber,Collection,SpeciesName,MonthCapture,YearCapture,LongitudeClim,LatitudeClim,Longitude,Latitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7
1780,140f63dc-88d7-45b1-be77-285a33ed9392,B47875,B47875,ANWC,Malurus lamberti,4,1996,141.9128,-29.7436,141.9128,-29.7436,504465.8857,129.5075073,CHC,Channel Country
9908,14463bdd-e9e1-43a1-aef1-6e939d0b475c,B55473,B55473,ANWC,Malurus lamberti,10,2010,151.2253,-28.6178,151.2253,-28.6178,214880.2562,374.7987976,NAN,Nandewar
8412,153f69e4-7a80-4dfa-8fc6-9765613cb5de,G31049,G31049,ANWC,Malurus lamberti,8,2008,126.1844,-28.3039,126.1844,-28.3039,438268.1358,389.6064148,GVD,Great Victoria Desert
2897,170f3806-fa2c-40e2-97cd-aaa8333a6481,A15669,A15669,WAM,Malurus lamberti,5,1978,128.933333,-18.033333,128.933333,-18.033333,298851.0032,386.8828125,OVP,Ord Victoria Plain
7276,177f1a76-2dc2-4c1a-9481-cb5ddccc1b32,B54256,B54256,ANWC,Malurus lamberti,8,2008,125.9081,-28.2997,125.9081,-28.2997,440900.5971,325.2197876,GVD,Great Victoria Desert
7278,1793a064-2da1-422d-92c0-69c68d738b07,B54097,B54097,ANWC,Malurus lamberti,8,2008,128.5947,-29.5733,128.5947,-29.5733,239728.0553,210.5865021,NUL,Nullarbor
4575,1826ef30-1855-4fe3-beaa-80c94f8ab5d8,G6328,G6328,ANWC,Malurus lamberti,5,2002,133.1292,-26.4672,133.1292,-26.4672,591213.2411,436.1281128,FIN,Finke
5815,186b8f9c-1b0e-4ffb-b865-8bceb4f062ef,B55399,B55399,ANWC,Malurus lamberti,7,2010,127.7076,-18.9261,127.7076,-18.9261,382269.1367,359.7543945,OVP,Ord Victoria Plain
4699,191193f6-a02e-4634-ab76-88d6263f38e8,O.39903,O.39903,AM,Malurus lamberti,6,1961,130.283,-26.133,130.283,-26.133,601191.7664,762.2938843,CER,Central Ranges
9940,19648f3a-9d06-41c5-b7a4-c7ce1ce61bf0,B46569,B46569,ANWC,Malurus lamberti,10,1994,137.2483,-35.0675,137.2483,-35.0675,11220,53.7720108,EYB,Eyre Yorke Block
2916,1a2ec79e-5639-460e-b607-f541212ad0c3,O30435,O30435,QM,Malurus lamberti,5,1994,143.233333,-24.116667,143.233333,-24.116667,650171.7654,180.513504,MGD,Mitchell Grass Downs
2917,1a50c920-b210-468f-b368-68ceb06a7ebc,A15623,A15623,WAM,Malurus lamberti,5,1978,129.766944,-15.466944,129.766944,-15.466944,34016.22701,9.693307877,VIB,Victoria Bonaparte
8560,1ae2ee04-66d0-4266-b0aa-10f5a2154917,B40061,B40061,ANWC,Malurus lamberti,9,1985,142.1667,-28.8,142.1667,-28.8,591279.2202,82.92456055,CHC,Channel Country
4709,1c152fe8-b4cd-4120-a383-9aba0e3fd54b,B39199,B39199,ANWC,Malurus lamberti,6,1985,153,-30.8667,153,-30.8667,4910,4.005615234,NNC,NSW North Coast
1203,1c346916-2e6f-4da6-85fa-9a3c6aa96138,A20186,A20186,WAM,Malurus lamberti,3,1986,124.983333,-17.333333,124.983333,-17.333333,105189.6002,104.3380966,CEK,Central Kimberley
627,1cb0bac3-349d-40ae-a4b3-7d076f69a4bc,G23475,G23475,ANWC,Malurus lamberti,1,1995,153.4178,-28.5817,153.4178,-28.5817,45147.78511,305.9490051,SEQ,South Eastern Queensland
4711,1cdd5e93-36a5-4032-8444-f365f6eea1de,B39302,B39302,ANWC,Malurus lamberti,6,1985,152.6167,-26.6833,152.6167,-26.6833,49100,399.8071899,SEQ,South Eastern Queensland
11874,1cf14f26-830c-4e22-a785-b1891d2e8cd6,A9479,A9479,WAM,Malurus lamberti,11,1964,114.45,-27.095,114.45,-27.095,48267.18243,179.5155029,YAL,Yalgoo
7162,1d762595-6dd6-4f67-9926-66fd8645b043,G31511,G31511,ANWC,Malurus lamberti,7,2009,133.728,-14.17,133.728,-14.17,191864.83,164.585907,GFU,Gulf Fall and Uplands
9730,1de0d5d6-62ce-4bc7-b772-bf8672153a21,ABTC73791,ABTC73791,ABTC,Malurus lamberti assimilis,9,1999,134.8106,-26.9828,134.8106,-26.9828,586287.305,187.7335052,FIN,Finke
2938,1e19d6f4-0776-4e8c-8ac5-6edea0d38fb1,A15644,A15644,WAM,Malurus lamberti,5,1978,130.966667,-17.483333,130.966667,-17.483333,292396.5013,216.2207947,OVP,Ord Victoria Plain
11733,1e32da8c-f4f5-429f-b2ad-971c3290b703,G40543,G40543,ANWC,Malurus lamberti,10,2015,132.427,-13.514,132.427,-13.514,129030,225.8518982,ARP,Arnhem Plateau
8408,20699095-e143-40b8-a364-d47a895a862b,G30916,G30916,ANWC,Malurus lamberti,8,2008,128.1242,-28.4664,128.1242,-28.4664,370961.9195,349.9440918,GVD,Great Victoria Desert
