	WAM57	WAM56	SAM46	SAM8	SAM44	SAM41	SAM36	SAM30	SAM29	SAM28	SAM27	SAM26	SAM25	SAM18	SAM17	SAM33	SAM16	SAM14	SAM12	SAM11	WAM58	SAM15	ANWC135	ANWC129	ANWC131	ANWC130	SAM35	ANWC118	ANWC94	ANWC133	ANWC136	SAM31	ANWC79	ANWC132	ANWC103	ANWC105	SAM32	ANWC100	SAM39	ANWC102	ANWC104	ANWC168	ANWC117	ANWC101	ANWC75	ANWC106	ANWC108	ANWC107	ANWC126	SAM45	ANWC110	ANWC115	ANWC66	ANWC116	ANWC139	SAM19	ANWC128	ANWC109	ANWC77	SAM34	SAM37	ANWC71	ANWC170	ANWC72	ANWC73	ANWC134	ANWC81	ANWC78	SAM38	ANWC80
WAM58	467132.9	467132.9	2661261.269	2296691.34	2661261.269	2464279.35	1832653.492	2661597.725	2660997.016	2661261.269	2661261.269	2661261.269	2661261.269	2.12E+06	2.12E+06	1686671.41	2380163.99	2407060.83	2322533.21	2351792.59	0	2407060.83	1263725.49	1406682.27	1469836.76	1484145.75	1792300.84	3589602.2	2511489.5	1255007.21	1263725.49	2660997.016	510186	1255007.21	2502584.95	3367650.9	2661261.269	2606756.24	1840143.202	2575365.9	2070389.4	3380554.1	3589602.2	2580708.93	1967303.5	3193199.1	2771147.7	3193199.1	1521617.7	2661261.269	3344627.4	2993671.7	2835685.7	2993671.7	2631093.4	2.12E+06	1400182.55	2870561.6	1199281.4	1687260.125	1687998.795	3092857.4	3493423.3	2063283.3	2063283.3	1281834.41	85891.48	645451.5	1685189.7	599352.6
SAM15	2279336.9	2279336.9	941264.327	112612.33	941264.327	715888.93	747889.22	938525.0705	937791.2241	941264.327	941264.327	941264.327	941264.327	2.97E+05	2.97E+05	842072.34	44616.95	0	85114.95	78309.91	2407060.83	0	1167587.75	1040869.31	978649.96	967565.76	763097.18	1264534.1	827942.2	1185231.73	1167587.75	937791.2241	2075371.6	1185231.73	646265.26	1049814.9	941264.327	594524.53	742160.259	518111.13	774305.4	981487.9	1264534.1	505487.33	459777.1	910052.6	672089.5	910052.6	985680.5	941264.327	1270743.5	602459.2	942594.8	602459.2	1126818.2	2.97E+05	1051071.02	817985.9	1208503.3	853462.873	851753.57	827989.5	1089952.1	428338.7	428338.7	1158591.65	2370577.3	1813584.2	811511.54	2076179.6
ANWC135	1242403.4	1242403.4	1458873.747	1055110.66	1458873.747	1233891.79	586714.318	1458569.383	1457875.755	1458873.747	1458873.747	1458873.747	1458873.747	8.74E+05	8.74E+05	439627.07	1135908.53	1167587.75	1082523.56	1105138.99	1263725.49	1167587.75	0	145642.67	207049.85	221863.4	543349.54	2326272.4	1299303.5	32280.54	0	1457875.755	1036589.9	32280.54	1259709.15	2104188.4	1458873.747	1353154.38	593884.288	1316677.91	857764.7	2149075.2	2326272.4	1321049.72	769792.1	1930596.6	1516071.4	1930596.6	287653.2	1458873.747	2111007.2	1767781.1	1795732.1	1767781.1	1723584.6	8.74E+05	141798.49	1624368	152072.6	444975.099	445212.949	1830624.3	2256768.2	800225.6	800225.6	32944.75	1217878.42	755632.8	427595.83	1077181.7
ANWC129	1386071.8	1386071.8	1317131.734	928279.38	1317131.734	1089477.61	441935.215	1316750.2	1316047.167	1317131.734	1317131.734	1317131.734	1317131.734	7.45E+05	7.45E+05	295463.15	1007222.34	1040869.31	956205.33	975488	1406682.27	1040869.31	145642.67	0	63825.76	77542.59	398272.98	2182920.2	1156799.6	151758.16	145642.67	1316047.167	1179654.5	151758.16	1114294.63	1960993.5	1317131.734	1207575.9	449031.885	1171541.91	717270.3	2021305.1	2182920.2	1176089.94	668193.6	1786699.9	1370596.6	1786699.9	154891.9	1317131.734	1965749.9	1643005.6	1718564.4	1643005.6	1675481.2	7.45E+05	13087.05	1478749.6	269637.6	302018.175	302111.067	1686533	2127111.8	660305.9	660305.9	124851.69	1359073.48	898615.2	281959.03	1217340.5
ANWC131	1442787.3	1442787.3	1264033.834	866106.87	1264033.834	1032941.75	385663.308	1263564.698	1262851.418	1264033.834	1264033.834	1264033.834	1264033.834	6.82E+05	6.82E+05	241578.93	944611.32	978649.96	894127.78	912704.14	1469836.76	978649.96	207049.85	63825.76	0	15477.81	341410.85	2119807.9	1102925.9	215276.16	207049.85	1262851.418	1235826.3	215276.16	1055542.15	1897818.5	1264033.834	1146739.83	392559.644	1109684.82	666464.4	1958618.9	2119807.9	1114009.39	614436.8	1723823.7	1309377.6	1723823.7	126745.6	1264033.834	1907274.4	1580973.9	1670939.1	1580973.9	1638802.7	6.82E+05	72698.73	1418954.8	318238.9	250437.368	250266.135	1623761.1	2064094.3	596494.9	596494.9	188258.57	1422616.96	954937.3	222271.96	1270886.2
ANWC130	1458229	1458229	1248590.962	855077.5	1248590.962	1017475.58	370185.792	1248119.237	1247405.667	1248590.962	1248590.962	1248590.962	1248590.962	6.71E+05	6.71E+05	226180.1	933207.1	967565.76	883166.97	901148.02	1484145.75	967565.76	221863.4	77542.59	15477.81	0	325937.28	2105461	1087464.7	229294.9	221863.4	1247405.667	1251283	229294.9	1040181.42	1883511.2	1248590.962	1131638.77	377083.371	1094814.55	651149	1947083.9	2105461	1099205.85	608019.4	1709342.9	1294354.7	1709342.9	116434.1	1248590.962	1891902	1569978.8	1666505.7	1569978.8	1637921.4	6.71E+05	85320.16	1403703	333639.4	235186.837	234995.028	1609228.7	2052247.4	583055.2	583055.2	202358.07	1436614.87	970386.6	206924.32	1286358.6
SAM35	1783907.1	1783907.1	924492.64	658065.13	924492.64	691593.06	44672.812	923920.1123	923195.5344	924492.64	924492.64	924492.64	924492.64	4.81E+05	4.81E+05	105661.56	721847.04	763097.18	686307.85	687268.26	1792300.84	763097.18	543349.54	398272.98	341410.85	325937.28	0	1804213.1	762682.3	544537.74	543349.54	923195.5344	1577118.3	544537.74	716606.85	1583754.2	924492.64	814626.67	51255.97	784173.04	334542.5	1712357	1804213.1	790356.84	553945.6	1405973.9	978873	1405973.9	271016	924492.64	1567667.4	1352177	1596796.8	1352177	1644778.5	4.81E+05	401563.91	1082383.4	658357.1	106403.247	105393.433	1304936.9	1809468.3	335946.2	335946.2	519060.44	1739808.19	1296162.9	122424.33	1611965.4
ANWC118	3519119.1	3519119.1	1120276.274	1356761.81	1120276.274	1197745.44	1766786.109	1117980.679	1118106.336	1120276.274	1120276.274	1120276.274	1120276.274	1.50E+06	1.50E+06	1908806.5	1274729.69	1264534.08	1337571.83	1293744.38	3589602.18	1264534.08	2326272.38	2182920.2	2119807.85	2105460.98	1804213.14	0	1204436.7	2334612.27	2326272.38	1118106.336	3312136.9	2334612.27	1132104.32	222368.5	1120276.274	1005273.64	1759256.714	1022421.19	1578278.1	704640	0	1014887.87	1719283.3	398551.7	843316.8	398551.7	2074535.6	1120276.274	567876.2	889135.5	1666980.2	889135.5	2026825	1.50E+06	2189502.31	789964	2405658.9	1910561.023	1909591.276	499843.6	644004.6	1530147	1530147	2307769.25	3540863.34	3040123.5	1905713.4	3322713.9
ANWC94	2541548.7	2541548.7	162945.499	809653.25	162945.499	113802.93	718060.93	162062.6317	161310.2182	162945.499	162945.499	162945.499	162945.499	7.87E+05	7.87E+05	861760.42	792031.46	827942.22	819496.68	773036.59	2511489.5	827942.22	1299303.46	1156799.64	1102925.88	1087464.68	762682.33	1204436.7	0	1296038.45	1299303.46	161310.2182	2335886.6	1296038.45	186511.97	1008433.4	162945.499	299557.78	711451.154	356492.77	444315.1	1393654.7	1204436.7	373657.5	1035245.8	830085.3	399876.9	830085.3	1013759.3	162945.499	837454.6	1154117	1753394.3	1154117	1954169.7	7.87E+05	1158450.29	414491.2	1420771	854818.552	854698.758	737670.9	1450429.4	674865.4	674865.4	1272254.34	2450683.83	2054897.8	884706.02	2373700.9
ANWC133	1245757.5	1245757.5	1454789.13	1072653.74	1454789.13	1233034.97	587218.212	1454555.562	1453870.948	1454789.13	1454789.13	1454789.13	1454789.13	8.90E+05	8.90E+05	439711.2	1152818.95	1185231.73	1100262.35	1121664.3	1255007.21	1185231.73	32280.54	151758.16	215276.16	229294.9	544537.74	2334612.3	1296038.5	0	32280.54	1453870.948	1040890	0	1261085.89	2112712.4	1454789.13	1357096.96	594504.104	1322246.14	853190.9	2166589.4	2334612.3	1327019.33	793516.8	1938263.9	1520536.1	1938263.9	282349.8	1454789.13	2111645.4	1786294.4	1823977.6	1786294.4	1754512.8	8.90E+05	145288.33	1626785.7	176530.6	443712.179	444089.252	1838027.1	2273563	811487.3	811487.3	27105.28	1207352.33	760365.9	431694.59	1084372.5
