"","sample","intercept","coefYear","df.residual","adj.r.square","df","fstat","pvalue"
"33","ANWC141","0","0","18","NaN","18","NaN","NaN"
"34","ANWC142","0","0","18","NaN","18","NaN","NaN"
"35","ANWC143","0","0","18","NaN","18","NaN","NaN"
"36","ANWC144","1.2","0.160902255639098","18","0.251421063921064","18","7.3814248361331","0.0141353883740802"
"37","ANWC145","0","0","18","NaN","18","NaN","NaN"
"38","ANWC146","0","0","18","NaN","18","NaN","NaN"
"39","ANWC147","0.8","0.0300751879699248","18","-0.0436209571547916","18","0.20584367316599","0.655467222720876"
"40","ANWC148","0.8","0.0300751879699248","18","-0.0436209571547916","18","0.20584367316599","0.655467222720876"
"41","ANWC150","0.95","0.0368421052631579","18","-0.0382165605095541","18","0.300613496932515","0.590234016563563"
"42","ANWC151","0.8","0.0300751879699248","18","-0.0436209571547916","18","0.20584367316599","0.655467222720876"
"43","ANWC152","0.9","3.01368215955076e-17","18","-0.0555555555555556","18","2.92798628273831e-31","1"
"44","ANWC153","0.9","3.01368215955076e-17","18","-0.0555555555555556","18","2.92798628273831e-31","1"
"45","ANWC154","0.9","3.01368215955076e-17","18","-0.0555555555555556","18","2.92798628273831e-31","1"
"46","ANWC155","0.9","3.01368215955076e-17","18","-0.0555555555555556","18","2.92798628273831e-31","1"
"47","ANWC156","0.9","3.01368215955076e-17","18","-0.0555555555555556","18","2.92798628273831e-31","1"
"48","ANWC157","0.8","0.0180451127819549","18","-0.0509097948122339","18","0.0795726653158961","0.781095108964531"
"49","ANWC158","0.8","0.0195488721804511","18","-0.0399593946105574","18","0.269944094418316","0.609699657719198"
"50","ANWC159","0.8","0.0195488721804511","18","-0.0399593946105574","18","0.269944094418316","0.609699657719198"
"51","ANWC160","0.65","-0.00225563909774436","18","-0.05531009654721","18","0.00418669561172276","0.949122329731613"
"52","ANWC161","0.65","-0.00225563909774436","18","-0.05531009654721","18","0.00418669561172276","0.949122329731613"
"53","ANWC162","2.55","0.16015037593985","18","0.130143995022798","18","3.84269567754261","0.0656289561197332"
"54","ANWC163","2.75","0.163157894736842","18","0.105879529637629","18","3.24993290031671","0.0881950550386253"
"55","ANWC168","27.8","0.251127819548872","18","-0.0390572498130637","18","0.285806680448339","0.599462511875502"
"56","ANWC170","17.85","-0.272932330827068","18","-0.0227630525206646","18","0.57712786277652","0.457275344244817"
"57","ANWC66","0.05","-0.00977443609022556","18","0.0150375939849623","18","1.29007633587786","0.270931292212322"
"58","ANWC67","0.05","-0.00977443609022556","18","0.0150375939849623","18","1.29007633587786","0.270931292212322"
"59","ANWC68","0","0","18","NaN","18","NaN","NaN"
"60","ANWC69","0","0","18","NaN","18","NaN","NaN"
"61","ANWC71","45.35","0.976691729323308","18","0.106711609855883","18","3.26972678659203","0.0873077176535398"
"62","ANWC72","33.55","-0.176691729323308","18","-0.0419519784490765","18","0.235005444570583","0.633683739789452"
"63","ANWC73","33.55","-0.176691729323308","18","-0.0419519784490765","18","0.235005444570583","0.633683739789452"
"64","ANWC75","51.65","-0.800751879699247","18","0.046539075494174","18","1.92740290835474","0.181986507014771"
"65","ANWC77","43.95","0.188721804511279","18","-0.0465978899487203","18","0.154059149623295","0.699295120419512"
"66","ANWC78","33.95","1.16616541353383","18","0.157290422979004","18","4.54632024850788","0.0470188094969753"
"67","ANWC79","1.35","0.0503759398496241","18","-0.0136907093428833","18","0.743389699523433","0.399918655064453"
"68","ANWC80","0.15","-0.0278195488721805","18","0.0638409209837781","18","2.2956959195081","0.147096604798026"
"69","ANWC81","0.9","-0.0150375939849624","18","-0.0502290401619261","18","0.0912917786681546","0.766004686489009"
"70","ANWC94","26.9","0.353383458646616","18","-0.0130399235065062","18","0.755430619391552","0.396204212089382"
"71","SAM11","29.9","0.153383458646617","18","-0.0491887247612439","18","0.109230066615222","0.744838268759953"
"72","SAM12","33.35","0.008270676691729","18","-0.0555392709841507","18","0.000277699080787983","0.986887747930927"
"73","SAM14","29.2","0.395488721804511","18","-0.0177899861100193","18","0.667898347691322","0.424471018773138"
"74","SAM15","29.2","0.395488721804511","18","-0.0177899861100193","18","0.667898347691322","0.424471018773138"
"75","SAM16","30.5","0.303759398496241","18","-0.0321988105255324","18","0.407306621799304","0.531376196874841"
"76","SAM17","39.55","-0.259398496240601","18","-0.0425473503042735","18","0.224591904103676","0.641260784750053"
"77","SAM18","39.55","-0.259398496240601","18","-0.0425473503042735","18","0.224591904103676","0.641260784750053"
"78","SAM19","101.5","3.00601503759398","18","0.308411778475473","18","9.47299535859166","0.00648627429066417"
"79","SAM20","54.55","0.5796992481203","18","-0.0146802602030944","18","0.725110505448322","0.405659481926058"
"80","SAM21","54.55","0.5796992481203","18","-0.0146802602030944","18","0.725110505448322","0.405659481926058"
"81","SAM25","52","1.07368421052632","18","0.112677292677293","18","3.41272824779627","0.0811993032644472"
"82","SAM26","52","1.07368421052632","18","0.112677292677293","18","3.41272824779627","0.0811993032644472"
"83","SAM27","52","1.07368421052632","18","0.112677292677293","18","3.41272824779627","0.0811993032644472"
"84","SAM28","52","1.07368421052632","18","0.112677292677293","18","3.41272824779627","0.0811993032644472"
"85","SAM29","51.45","1.2984962406015","18","0.191791491742379","18","5.50878493095949","0.0305618306533847"
"86","SAM30","51.45","1.2984962406015","18","0.191791491742379","18","5.50878493095949","0.0305618306533847"
"87","SAM31","51.45","1.2984962406015","18","0.191791491742379","18","5.50878493095949","0.0305618306533847"
"88","SAM32","51.65","1.26691729323308","18","0.185467984101008","18","5.32627770196344","0.0330962535230514"
"89","SAM33","47.3","-0.360902255639097","18","-0.0150681888791888","18","0.717954328742479","0.407941306353786"
"90","SAM34","49.6","-0.326315789473684","18","-0.0174361938437826","18","0.674389720911841","0.422269222974817"
"91","SAM35","38.25","0.372180451127819","18","-0.0271063878700482","18","0.498570571059405","0.489168067605943"
"92","SAM36","29.5","0.604511278195488","18","0.038647266961626","18","1.76381753235374","0.20074453691207"
"93","SAM37","49.6","-0.326315789473684","18","-0.0174361938437826","18","0.674389720911841","0.422269222974817"
"94","SAM38","46.3","0.0330827067669168","18","-0.0553645521324901","18","0.00325770048674798","0.955113263425344"
"95","SAM39","28.4","0.547368421052632","18","0.0268935236004391","18","1.52509870276368","0.23272771301577"
"96","SAM41","28.15","1.25338345864662","18","0.288774347227767","18","8.7144469915298","0.00852914415110367"
"97","SAM44","52","1.07368421052632","18","0.112677292677293","18","3.41272824779627","0.0811993032644472"
"98","SAM45","52","1.07368421052632","18","0.112677292677293","18","3.41272824779627","0.0811993032644472"
"99","SAM46","52","1.07368421052632","18","0.112677292677293","18","3.41272824779627","0.0811993032644472"
"100","SAM8","33.5","-0.081203007518797","18","-0.0540152655626867","18","0.0263043817082112","0.872965940736612"
"101","WAM56","0.05","-0.0112781954887218","18","0.0384294068504595","18","1.75933970460469","0.201291277364658"
"102","WAM57","0.05","-0.0112781954887218","18","0.0384294068504595","18","1.75933970460469","0.201291277364658"
"103","WAM58","0.05","-0.00676691729323308","18","-0.0217209690893903","18","0.596075224856909","0.450097912912193"
"104","WAM59","0","0","18","NaN","18","NaN","NaN"
"105","WAM60","0","0","18","NaN","18","NaN","NaN"
"106","WAM63","10.25","0.925563909774436","18","0.35027115621008","18","11.2429683268661","0.0035409359258999"
"107","WAM64","10.25","0.925563909774436","18","0.35027115621008","18","11.2429683268661","0.0035409359258999"
