SAMPLE.ID,YearJJ,Tmean
SAM21,1993,17.44593581
ANWC103,1981,17.46714036
ANWC104,1982,17.483797
SAM29,2000,17.49631166
SAM30,2000,17.49631166
SAM36,2007,17.51112294
SAM25,2000,17.51502784
SAM26,2000,17.51502784
SAM27,2000,17.51502784
SAM32,2000,17.51502784
SAM31,2000,17.54061572
ANWC100,1996,17.54828084
ANWC103,1993,17.59149098
SAM39,2007,17.60153699
ANWC94,1978,17.60694559
SAM35,2007,17.60880852
SAM28,2000,17.63400928
SAM20,1988,17.64502319
SAM21,1988,17.64502319
ANWC103,1982,17.64965995
ANWC103,1991,17.65495078
ANWC94,1979,17.65561676
ANWC104,1981,17.65654763
ANWC109,1997,17.66322899
ANWC104,1990,17.66871643
ANWC94,1987,17.6727616
SAM20,1991,17.68652503
SAM21,1991,17.68652503
ANWC103,1987,17.70394103
ANWC94,1989,17.72134336
SAM20,1990,17.76931802
SAM21,1990,17.76931802
SAM44,1992,17.78001753
ANWC94,1991,17.78475929
ANWC103,1994,17.7900703
SAM28,1988,17.81307284
ANWC94,1977,17.83089463
ANWC103,1977,17.8370777
ANWC103,1990,17.85443505
ANWC103,1988,17.85576765
SAM20,1994,17.8791817
SAM21,1994,17.8791817
ANWC94,1975,17.88582873
ANWC104,1980,17.89750369
ANWC92,1974,17.91770617
ANWC103,1983,17.92595228
SAM46,2004,17.92824017
ANWC94,1993,17.93736267
ANWC94,1983,17.95779832
ANWC109,1984,17.96729771
SAM20,1980,17.97909617
SAM21,1980,17.97909617
ANWC94,1982,17.98987826
ANWC88,1980,18.00275556
ANWC118,1993,18.10392984
ANWC118,2007,18.1151611
SAM46,1996,18.11799717
ANWC94,1981,18.15040278
ANWC103,1980,18.15333946
ANWC126,2008,18.1550889
ANWC94,1988,18.15759134
SAM36,2001,18.16650796
SAM34,2007,18.16759886
SAM37,2007,18.16759886
ANWC94,1990,18.1794192
SAM46,2000,18.18285314
ANWC102,1984,18.23418204
ANWC109,1992,18.25981935
SAM39,2001,18.26216912
ANWC102,1989,18.26979351
SAM35,2001,18.29904922
ANWC109,1986,18.30166427
ANWC108,1997,18.31491957
ANWC118,1999,18.32302944
SAM33,2007,18.32872282
SAM36,1989,18.34389019
SAM36,1992,18.36387404
SAM45,1992,18.37947973
ANWC101,1984,18.39102093
ANWC118,2009,18.39565502
SAM38,2007,18.40156818
SAM36,1995,18.4037873
SAM36,1988,18.41462708
SAM46,1988,18.41670195
SAM39,1989,18.44391219
SAM41,2012,18.44939943
SAM35,1989,18.44986105
ANWC101,1989,18.46280424
SAM39,1992,18.46292162
SAM35,1988,18.47642342
ANWC109,1987,18.48558021
ANWC109,1985,18.48802646
ANWC102,1992,18.49743811
ANWC118,1997,18.50864307
ANWC109,1995,18.50903781
SAM39,1995,18.5095969
ANWC102,1986,18.51790746
SAM35,1992,18.5214119
SAM41,1995,18.52155026
ANWC102,1985,18.54041974
SAM35,1995,18.54274035
SAM39,1988,18.54345481
ANWC118,1995,18.54678329
ANWC109,1993,18.56694539
ANWC109,1996,18.57025186
ANWC94,1980,18.57606936
ANWC118,2003,18.59251905
SAM41,2001,18.59489981
ANWC102,1978,18.60218843
SAM36,1994,18.60404221
ANWC131,2008,18.61362672
ANWC109,1978,18.63274805
ANWC109,1994,18.63303916
ANWC90,1974,18.63401413
SAM36,2003,18.64527456
ANWC109,1989,18.66191069
ANWC102,1979,18.66723736
ANWC130,2008,18.66739059
SAM34,1988,18.6906724
SAM37,1988,18.6906724
SAM34,2001,18.69518058
SAM37,2001,18.69518058
SAM35,1994,18.71243739
SAM39,1994,18.71546968
SAM36,2006,18.72689303
ANWC118,1991,18.7294716
SAM44,1996,18.73751354
ANWC101,1986,18.74151587
ANWC101,1992,18.74154624
SAM39,2003,18.74328907
ANWC101,1985,18.74598122
ANWC101,1978,18.75328978
ANWC128,2008,18.75937772
ANWC134,2008,18.76286852
SAM36,1999,18.76872929
SAM34,1989,18.7787172
SAM37,1989,18.7787172
ANWC102,1995,18.78794058
SAM36,1993,18.78897405
ANWC109,1983,18.79484733
ANWC102,1987,18.80064495
ANWC102,1994,18.80700032
SAM44,2004,18.80921294
ANWC108,1984,18.82555477
SAM39,2006,18.82566238
SAM34,1992,18.82791821
SAM37,1992,18.82791821
SAM36,1990,18.8310585
SAM44,2000,18.83408984
ANWC101,1979,18.83565235
SAM34,1995,18.83668908
