,COLLECTION.ID,Number,ID,SAMPLE.ID,SEX,SPECIES,COLLECTION,COMMON.NAME,DATE,Period,Year,Age,LATITUDE,LONGITUDE,STATE,MISSINGNESS,INBREEDING,DEPTH,PC1,PC2,PC3,RecordID_ALA.ORIGINAL,RecordID_ALA,CatalogNumber,Collection,MonthCapture,YearCapture,Latitude,Longitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7,NOTE
11,A37114,1,WAM63_R1.fastq.gz,WAM63,,Malurus assimilis,WAM,Purple-Backed Fairy Wren,24/9/05,2001 - 2005,2005,14,-23.6166,118.65,WA,0.0913142,0.12558909,2.88254,-0.463925244,-0.409390011,-0.13758306,3db11faf-1cb8-4551-beff-75c35e14bf7b,3db11faf-1cb8-4551-beff-75c35e14bf7b,A37114,WAM,9,2005,-23.616667,118.65,342924.5631,529.4771118,GAS,Gascoyne,NA
64,B46415,33,ANWC88_R1.fastq.gz,ANWC88,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,19/10/94,1991 - 1995,1994,25,-34.6831,143.5511,NSW,0.247849,0.09887242,1.51901,-0.360136864,-0.116221719,-0.036045078,3f662d5d-4589-4bc0-895c-4ea8e650d544,3f662d5d-4589-4bc0-895c-4ea8e650d544,B46415,ANWC,10,1994,-34.6831,143.5511,374081.3593,65.07148743,MDD,Murray Darling Depression,NA
45,ABTC85133,22,SAM20_R1.fastq.gz,SAM20,M,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,24/9/99,1996 - 2000,1999,20,-26.9831,134.8109,SA,0.391133,0.09631281,0.955786,-0.078895852,-0.031956788,-0.009988969,409e08db-00be-448a-a8f3-5523485905c3,409e08db-00be-448a-a8f3-5523485905c3,ABTC85133,ABTC,11,1997,-32.3667,135.45,110326.2163,340.0235901,GAW,Gawler,NA
101,B54739,84,ANWC142_R1.fastq.gz,ANWC142,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,17/7/09,2006 - 2010,2009,10,-14.17,133.728,NT,0.151362,0.12723684,3.33774,-0.232793397,0.121301999,-0.000114714,42ddfaac-93b7-4555-8d05-adfe212cf7a3,42ddfaac-93b7-4555-8d05-adfe212cf7a3,B54739,ANWC,7,2009,-14.17,133.728,191864.83,164.585907,GFU,Gulf Fall and Uplands,NA
120,B55412,89,ANWC162_R1.fastq.gz,ANWC162,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,28/7/10,2006 - 2010,2010,9,-18.1345,128.6945,WA,0.0517942,0.12202223,3.46171,-0.190382455,0.064531043,0.029576273,446f0912-5967-48f2-ae1e-11e6a42b092f,446f0912-5967-48f2-ae1e-11e6a42b092f,B55412,ANWC,7,2010,-18.1345,128.6945,300873.5297,337.7535095,OVP,Ord Victoria Plain,NA
55,B32774,110,ANWC73_R1.fastq.gz,ANWC73,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,1/5/02,2001 - 2005,2002,17,-28.4108,134.1861,SA,0.0810872,0.12622817,2.86679,-0.125675687,-0.057596986,-0.023553983,47ee8705-1866-4864-b083-d28442782c11,47ee8705-1866-4864-b083-d28442782c11,B32774,ANWC,5,2002,-28.4108,134.1861,420018.4383,256.7723083,STP,Stony Plains,NA
21,ABTC113313,56,SAM32_R1.fastq.gz,SAM32,F,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,21/10/05,2001 - 2005,2005,14,-34.3753,139.4794,SA,0.234396,0.27824366,2.52617,0.760046354,-0.033353387,0.06848063,4ba10d51-aa95-4c16-849f-f39deb229bc0,4ba10d51-aa95-4c16-849f-f39deb229bc0,ABTC113313,ABTC,10,2005,-34.3753,139.4794,99176.70946,80.77060699,MDD,Murray Darling Depression,NA
97,B54436,60,ANWC138_R1.fastq.gz,ANWC138,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,3/7/09,2006 - 2010,2009,10,-15.642,136.419,NT,0.0974434,0.12871915,2.69643,-0.17527652,0.247883296,-0.11070067,4c20c8c7-30b6-4e52-a7cd-979da09777a0,4c20c8c7-30b6-4e52-a7cd-979da09777a0,B54436,ANWC,7,2009,-15.692,136.469,0,1.574169993,GUC,Gulf Coastal,NA
104,B55126,94,ANWC145_R1.fastq.gz,ANWC145,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,18/7/10,2006 - 2010,2010,9,-16.4463,127.9837,WA,0.0817227,0.18839481,2.92264,-0.457598296,0.210180792,0.221934794,4e29b920-9bb6-49d9-bd84-6290cf530495,4e29b920-9bb6-49d9-bd84-6290cf530495,B55126,ANWC,7,2010,-16.4463,127.9837,106703.0281,180.0895996,VIB,Victoria Bonaparte,NA
43,ABTC73792,23,SAM18_R1.fastq.gz,SAM18,M,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,22/9/99,1996 - 2000,1999,20,-26.9829,134.8107,SA,0.0901673,0.12530832,2.67875,-0.034111253,-0.01517462,-0.01144685,50da4e56-073f-4d77-b735-647f226d8d06,50da4e56-073f-4d77-b735-647f226d8d06,ABTC73792,ABTC,9,1999,-26.9828,134.8106,586287.305,187.7335052,FIN,Finke,NA
70,B48236,59,ANWC102_R1.fastq.gz,ANWC102,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,30/8/96,1996 - 2000,1996,23,-30.4658,139.3111,SA,0.0788539,0.12548099,2.9786,0.317434504,-0.016640598,0.009936427,5164a108-ff2e-4557-8763-179dba2761c4,5164a108-ff2e-4557-8763-179dba2761c4,B48236,ANWC,8,1996,-30.4658,139.3111,275812.4076,190.5733948,FLB,Flinders Lofty Block,NA
71,B48315,54,ANWC103_R1.fastq.gz,ANWC103,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,2/9/96,1996 - 2000,1996,23,-31.8356,138.3494,SA,0.0800985,0.12836471,2.92334,0.335870608,-0.010860216,0.010380996,54454424-c86c-4323-827e-a642d6497dda,54454424-c86c-4323-827e-a642d6497dda,B48315,ANWC,9,1996,-31.8356,138.3494,99991.51264,269.6065063,FLB,Flinders Lofty Block,NA
68,B48221,57,ANWC100_R1.fastq.gz,ANWC100,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,29/8/96,1996 - 2000,1996,23,-31.1189,139.5664,SA,0.0960527,0.10018983,2.60025,0.374303218,-0.010105025,0.013905508,5a26ae5e-ab5c-4564-8e18-35641ab0bd1b,5a26ae5e-ab5c-4564-8e18-35641ab0bd1b,B48221,ANWC,8,1996,-31.1189,139.5664,232822.9991,24.12895012,BHC,Broken Hill Complex,NA
37,ABTC37966,29,SAM11_R1.fastq.gz,SAM11,F,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,18/9/97,1996 - 2000,1997,22,-26.5778,137.0925,SA,0.17457,0.10056274,1.85646,0.020464234,-0.022123427,-0.010899507,5c22a590-d782-4ed5-b5bb-a89a002ee546,5c22a590-d782-4ed5-b5bb-a89a002ee546,ABTC37966,ABTC,9,1997,-26.5778,137.0925,679679.5664,39.117939,SSD,Simpson Strzelecki Dunefields,NA
112,B55281,67,ANWC154_R1.fastq.gz,ANWC154,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,23/7/10,2006 - 2010,2010,9,-19.2027,126.1829,WA,0.0543678,0.09408142,3.49423,-0.279256597,0.116067773,0.103887423,5df75950-a742-4c10-962e-be4de7c88891,5df75950-a742-4c10-962e-be4de7c88891,B55281,ANWC,7,2010,-19.2027,126.1829,325254.4742,251.4633942,GSD,Great Sandy Desert,NA
113,B55291,98,ANWC155_R1.fastq.gz,ANWC155,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,24/7/10,2006 - 2010,2010,9,-19.2103,126.1069,WA,0.0913962,0.0978623,2.75719,-0.320883894,0.105324663,0.100899444,61c1ffe4-c125-453f-b3b2-b39bd1c48ff7,61c1ffe4-c125-453f-b3b2-b39bd1c48ff7,B55291,ANWC,7,2010,-19.2103,126.1069,321489.5875,234.4696045,OVP,Ord Victoria Plain,NA
80,B52435,96,ANWC113_R1.fastq.gz,ANWC113,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,14/7/09,2006 - 2010,2009,10,-14.761,134.192,WA,0.0893604,0.18574777,3.00442,-0.199754708,0.116621073,-0.014835477,6569487c-83d4-493d-9930-250bf93ed5ea,6569487c-83d4-493d-9930-250bf93ed5ea,B52435,ANWC,7,2009,-14.761,134.192,132570,56.27629089,GFU,Gulf Fall and Uplands,NA
