SAMPLE.ID,YearJD,Ndays5
ANWC81,1998,2
ANWC81,1999,1
ANWC112,1991,0
ANWC112,1992,0
ANWC112,1984,0
ANWC112,1985,0
ANWC112,1986,0
ANWC112,1987,0
ANWC112,1988,0
ANWC112,1989,0
ANWC112,1990,0
ANWC112,1993,0
ANWC112,1994,0
ANWC112,1995,0
ANWC112,1996,0
ANWC112,1997,0
ANWC112,1998,0
SAM25,1987,62
SAM25,1986,52
SAM25,1984,0
SAM25,1985,65
SAM25,1989,60
SAM25,1990,43
SAM25,1991,39
SAM25,1992,64
SAM25,1994,62
SAM25,1995,44
SAM25,1988,35
SAM25,1997,70
SAM25,1998,67
SAM25,1993,50
SAM25,1996,45
SAM26,1990,43
SAM26,1985,65
SAM26,1986,52
SAM26,1988,35
SAM26,1989,60
SAM26,1987,62
SAM26,1998,67
SAM26,1991,39
SAM26,1984,0
SAM26,1993,50
SAM26,1994,62
SAM26,1997,70
SAM26,1995,44
SAM26,1992,64
SAM26,1996,45
SAM27,1991,39
SAM27,1992,64
SAM27,1986,52
SAM27,1984,0
SAM27,1994,62
SAM27,1987,62
SAM27,1985,65
SAM27,1989,60
SAM27,1990,43
SAM27,1993,50
SAM27,1995,44
SAM27,1988,35
SAM27,1997,70
SAM27,1998,67
SAM27,1996,45
SAM28,1987,62
SAM28,1990,43
SAM28,1993,50
SAM28,1995,44
SAM28,1988,35
SAM28,1994,62
SAM28,1998,67
SAM28,1991,39
SAM28,1989,60
SAM28,1992,64
SAM28,1984,0
SAM28,1985,65
SAM28,1986,52
SAM28,1996,45
SAM28,1997,70
SAM44,1989,60
SAM44,1997,70
SAM44,1990,43
SAM44,1992,64
SAM44,1993,50
SAM44,1986,52
SAM44,1995,44
SAM44,1996,45
SAM44,1998,67
SAM44,1991,39
SAM44,1994,62
SAM44,1987,62
SAM44,1988,35
SAM44,1984,0
SAM44,1985,65
SAM45,1993,50
SAM45,1998,67
SAM45,1995,44
SAM45,1996,45
SAM45,1994,62
SAM45,1984,0
SAM45,1985,65
SAM45,1986,52
SAM45,1987,62
SAM45,1988,35
SAM45,1997,70
SAM45,1990,43
SAM45,1989,60
SAM45,1991,39
SAM45,1992,64
SAM46,1998,67
SAM46,1985,65
SAM46,1988,35
SAM46,1989,60
SAM46,1990,43
SAM46,1991,39
SAM46,1984,0
SAM46,1993,50
SAM46,1994,62
SAM46,1995,44
SAM46,1996,45
SAM46,1997,70
SAM46,1986,52
SAM46,1992,64
SAM46,1987,62
WAM56,1993,0
WAM56,1994,0
WAM56,1986,1
WAM56,1987,0
WAM56,1989,0
WAM56,1990,0
WAM56,1991,0
WAM56,1992,0
WAM56,1984,0
WAM56,1985,0
WAM56,1995,0
WAM56,1996,0
WAM56,1997,0
WAM56,1998,0
WAM56,1988,0
WAM57,1996,0
WAM57,1985,0
WAM57,1984,0
WAM57,1998,0
WAM57,1987,0
WAM57,1997,0
WAM57,1986,1
WAM57,1990,0
WAM57,1991,0
WAM57,1993,0
WAM57,1994,0
WAM57,1995,0
WAM57,1988,0
WAM57,1989,0
WAM57,1992,0
WAM58,1986,0
WAM58,1985,0
WAM58,1988,0
WAM58,1989,1
WAM58,1990,0
WAM58,1991,0
WAM58,1993,0
WAM58,1994,0
WAM58,1987,0
WAM58,1996,0
WAM58,1997,0
WAM58,1998,0
WAM58,1992,0
WAM58,1984,0
WAM58,1995,0
ANWC112,1999,0
ANWC112,2000,0
ANWC112,2001,0
ANWC112,2002,0
ANWC112,2004,0
ANWC112,2003,0
SAM25,2000,52
SAM25,2003,58
SAM25,2004,58
SAM25,2001,48
SAM25,2002,68
SAM25,1999,56
SAM26,2003,58
SAM26,2004,58
SAM26,2001,48
