,SAMPLE.ID,COLLECTION.ID,COLLECTION,ID,RecordID_ALA.ORIGINAL,RecordID_ALA,CatalogNumber,SEX,SPECIES,COMMON.NAME,DATE,Period,Year,Age,LATITUDE,LONGITUDE,STATE,MISSINGNESS,INBREEDING,DEPTH,PC1,PC2,PC3,MonthCapture,YearCapture,YearCat,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7,NOTE,NDays35.5YrMean,NDays35.5Yr.Sum,NDays35.10YrMean,NDays35.10Yr.Sum,Ndays5.5YrMean,Ndays5.5YrSum,Ndays5.10YrMean,Ndays5.10YrSum,Tmean.5YrMean,Tmean.10YrMean,TotalRain.5YrSum,TotalRain.10YrSum,ChangeMeanTemp,ChangeNdays5,ChangeNDays35,ChangeRain
11,ANWC110,B49626,ANWC,ANWC110_R1.fastq.gz,3085d0fd-8fe3-4289-9dfb-1d73e58be9fc,3085d0fd-8fe3-4289-9dfb-1d73e58be9fc,B49626,M,Malurus assimilis,Purple-Backed Fairy Wren,10/11/98,1996 - 2000,1998,21,-34.0167,147.085,NSW,0.11543,0.12671722,2.29716,0.522521156,-0.000877845,0.02566867,11,1998,1998,343792.689,282.0733032,NSS,NSW South Western Slopes,NA,25.6,128,24.3,243,90.6,453,86.5,865,16.3688859,16.42553275,0.076946572,0.179636402,-0.121746444,0.90075188,-0.412781955,0.000283027
12,ANWC115,B52745,ANWC,ANWC115_R1.fastq.gz,NA,cf291072-9a61-465e-8b2f-2cea9ef6cc03,NA,M,Malurus assimilis,Purple-Backed Fairy Wren,3/11/09,2006 - 2010,2009,10,-24.1106,143.1869,QLD,0.0329289,0.09184673,4.1622,0.440149268,0.014566992,0.012371063,11,2009,2009,653223.6684,178.7265015,MGD,Mitchell Grass Downs,used data from other specimens from same location,102.8,514,130.6,1306,18.6,93,22.6,226,24.07564848,24.11798964,0.06557776,0.106502279,-0.026673252,0.013533835,-0.22481203,0.000265724
13,ANWC116,B52746,ANWC,ANWC116_R1.fastq.gz,NA,cf291072-9a61-465e-8b2f-2cea9ef6cc03,NA,M,Malurus assimilis,Purple-Backed Fairy Wren,3/11/09,2006 - 2010,2009,10,-24.1106,143.1869,QLD,0.0537862,0.0938411,3.50413,0.450976627,0.010181933,0.010623349,11,2009,2009,653223.6684,178.7265015,MGD,Mitchell Grass Downs,used data from other specimens from same location,104.4,522,129.8,1298,18.6,93,22.6,226,23.8214012,24.11313748,0.062258405,0.106502279,-0.048060266,0.013533835,-0.278947368,0.000296865
14,ANWC117,B52750,ANWC,ANWC117_R1.fastq.gz,NA,fe7dffb2-f5ae-4399-b920-f162d69dfb09,NA,F,Malurus assimilis,Purple-Backed Fairy Wren,10/11/09,2006 - 2010,2009,10,-29.4706,149.8464,NSW,0.101099,0.10000011,2.49924,0.455363595,0.001968252,0.011434768,11,2009,2009,323720.9493,240.4832001,BBS,Brigalow Belt South,used data from other specimens from same location,30.2,151,40.2,402,68.8,344,67.1,671,19.78446999,19.78799278,0.107494948,0.200943131,-0.088866761,1.360902256,-0.336842105,0.000493686
15,ANWC118,B52751,ANWC,ANWC118_R1.fastq.gz,NA,fe7dffb2-f5ae-4399-b920-f162d69dfb09,NA,M,Malurus assimilis,Purple-Backed Fairy Wren,10/11/09,2006 - 2010,2009,10,-29.4706,149.8464,NSW,0.109441,0.12691192,2.50521,0.455916447,0.002571099,0.014379248,11,2009,2009,323720.9493,240.4832001,BBS,Brigalow Belt South,used data from other specimens from same location,29.6,148,40.1,401,68.8,344,67.1,671,20.06874412,19.78289866,0.106946561,0.200714099,-0.07247701,1.360902256,-0.371428571,0.000460956
16,ANWC126,B54028,ANWC,ANWC126_R1.fastq.gz,137984ca-f2f6-4770-ae56-44a999813565,137984ca-f2f6-4770-ae56-44a999813565,B54028,F,Malurus assimilis,Purple-Backed Fairy Wren,1/8/08,2006 - 2010,2008,11,-29.5719,128.4172,WA,0.0257783,0.08939377,4.15291,-0.2522429,-0.155854832,-0.047448066,8,2008,2008,242875.1753,209.3856049,NUL,Nullarbor,NA,66,330,58.4,584,50.2,251,49.6,496,20.12780674,19.93412213,0.025469425,0.055604464,0.021419112,0.57593985,0.578947368,6.93E-05
17,ANWC128,B54114,ANWC,ANWC128_R1.fastq.gz,f85ca02f-215a-4c6b-bbcd-ceedf21444d8,f85ca02f-215a-4c6b-bbcd-ceedf21444d8,B54114,M,Malurus assimilis,Purple-Backed Fairy Wren,4/8/08,2006 - 2010,2008,11,-28.5586,127.3619,WA,0.0508884,0.18227711,4.60444,-0.274372851,-0.134191571,-0.044940438,8,2008,2008,380757.991,339.4086914,GVD,Great Victoria Desert,NA,85,425,73.4,734,52.8,264,50.9,509,20.96908236,20.65639563,0.033085238,0.073657174,0.015375861,1.036842105,1.101503759,0.000121925
18,ANWC129,B54119,ANWC,ANWC129_R1.fastq.gz,cee1c91f-182b-4fd1-b974-865af3f8b32b,cee1c91f-182b-4fd1-b974-865af3f8b32b,B54119,M,Malurus assimilis,Purple-Backed Fairy Wren,4/8/08,2006 - 2010,2008,11,-28.4661,127.445,WA,0.0772565,0.0996539,2.90795,-0.294316603,-0.141233281,-0.042796305,8,2008,2008,386780.8931,308.6156921,GVD,Great Victoria Desert,NA,86.8,434,75.7,757,53.6,268,50.3,503,21.07826896,20.75789575,0.03387087,0.075126294,0.01408187,1.146616541,1.182706767,0.000129607
19,ANWC130,B54133,ANWC,ANWC130_R1.fastq.gz,97f5072c-b831-476f-9cc8-740906154f45,97f5072c-b831-476f-9cc8-740906154f45,B54133,M,Malurus assimilis,Purple-Backed Fairy Wren,5/8/08,2006 - 2010,2008,11,-28.5339,128.2333,WA,0.20927,0.49589434,3.89226,-0.327106101,-0.175328668,-0.059209534,8,2008,2008,357695.3918,339.9645996,GVD,Great Victoria Desert,NA,83.4,417,72.1,721,53.4,267,50.5,505,20.89593693,20.60551224,0.032535103,0.071646657,0.014355162,1.052631579,0.870676692,0.000115207
20,ANWC131,B54149,ANWC,ANWC131_R1.fastq.gz,e66d13cb-79a2-4508-a193-7f2f6efac501,e66d13cb-79a2-4508-a193-7f2f6efac501,B54149,M,Malurus assimilis,Purple-Backed Fairy Wren,5/8/08,2006 - 2010,2008,11,-28.4636,128.0967,WA,0.135805,0.09967743,2.1983,-0.293461164,-0.121912047,-0.034151695,8,2008,2008,370961.9195,332.9543152,GVD,Great Victoria Desert,NA,82.6,413,71.1,711,53.6,268,51,510,20.85160976,20.547709,0.034160622,0.075211038,0.012529801,1.036090226,0.903759398,0.000126043
21,ANWC132,B54256,ANWC,ANWC132_R1.fastq.gz,177f1a76-2dc2-4c1a-9481-cb5ddccc1b32,177f1a76-2dc2-4c1a-9481-cb5ddccc1b32,B54256,F,Malurus assimilis,Purple-Backed Fairy Wren,11/8/08,2006 - 2010,2008,11,-28.2997,125.9081,WA,0.0736281,0.09322575,2.75582,-0.290936855,-0.130735058,-0.040624581,8,2008,2008,440900.5971,325.2197876,GVD,Great Victoria Desert,NA,92.4,462,80.6,806,49.4,247,50.1,501,21.40463955,21.04240048,0.03746619,0.080910757,0.011707533,0.995488722,1.113533835,0.000136787
22,ANWC133,B54257,ANWC,ANWC133_R1.fastq.gz,f4c8330b-cb02-4e06-a728-65c2163b27b4,f4c8330b-cb02-4e06-a728-65c2163b27b4,B54257,M,Malurus assimilis,Purple-Backed Fairy Wren,11/8/08,2006 - 2010,2008,11,-28.2997,125.9081,WA,0.143314,0.37522253,4.31129,-0.328133562,-0.165631026,-0.048147288,8,2008,2008,440900.5971,325.2197876,GVD,Great Victoria Desert,NA,92.4,462,80.6,806,49.4,247,50.1,501,21.40463955,21.04240048,0.03746619,0.080910757,0.011707533,0.995488722,1.113533835,0.000136787
23,ANWC134,B54278,ANWC,ANWC134_R1.fastq.gz,NA,153f69e4-7a80-4dfa-8fc6-9765613cb5de,NA,F,Malurus assimilis,Purple-Backed Fairy Wren,11/8/08,2006 - 2010,2008,11,-28.3039,126.1844,WA,0.0334658,0.08998862,3.80538,-0.292005157,-0.154832931,-0.051195246,8,2008,2008,438268.1358,389.6064148,GVD,Great Victoria Desert,used data from other specimens from same location,87.8,439,75.3,753,54.6,273,55.2,552,21.04954769,20.6896672,0.038693102,0.08380782,0.012939044,1.180451128,1.185714286,0.000150345
24,ANWC135,B54287,ANWC,ANWC135_R1.fastq.gz,c3f7ff0f-2be6-481c-94c2-13a255ea5f45,c3f7ff0f-2be6-481c-94c2-13a255ea5f45,B54287,M,Malurus assimilis,Purple-Backed Fairy Wren,12/8/08,2006 - 2010,2008,11,-28.0342,126.0433,WA,0.0276421,0.08844443,3.98807,-0.236039488,-0.112943117,-0.04603591,8,2008,2008,467283.8701,395.9198914,GVD,Great Victoria Desert,NA,94.4,472,80.2,802,57.8,289,57.6,576,21.24957778,20.8703568,0.041779781,0.088901629,0.010961589,1.496992481,1.336842105,0.000180202
25,ANWC136,B54288,ANWC,ANWC136_R1.fastq.gz,c2dc3387-74df-4a35-b647-e48d5d40b2c8,c2dc3387-74df-4a35-b647-e48d5d40b2c8,B54288,M,Malurus assimilis,Purple-Backed Fairy Wren,12/8/08,2006 - 2010,2008,11,-28.0342,126.0433,WA,0.151054,0.36369422,3.29053,-0.320160561,-0.158811863,-0.048644441,8,2008,2008,467283.8701,395.9198914,GVD,Great Victoria Desert,NA,94.4,472,80.2,802,57.8,289,57.6,576,21.24957778,20.8703568,0.041779781,0.088901629,0.010961589,1.496992481,1.336842105,0.000180202
26,ANWC139,B54458,ANWC,ANWC139_R1.fastq.gz,82a50e31-cbea-4160-a0f9-2f7ab9aaade2,82a50e31-cbea-4160-a0f9-2f7ab9aaade2,B54458,M,Malurus assimilis,Purple-Backed Fairy Wren,3/7/09,2006 - 2010,2009,10,-15.913,136.544,NT,0.0371472,0.18206705,3.92732,-0.0956768,0.16108998,-0.091532552,7,2009,2009,17531.60004,1.403391004,GUC,Gulf Coastal,NA,105.4,527,98.1,981,0,0,0,0,27.1910442,27.12538703,0.165899491,0.377799503,-0.048644155,0,-1.192481203,0.000918973
27,ANWC168,B55501,ANWC,ANWC168_R1.fastq.gz,90fe1b82-789c-4dc5-bceb-cb813c723b12,90fe1b82-789c-4dc5-bceb-cb813c723b12,B55501,F,Malurus assimilis,Purple-Backed Fairy Wren,31/10/10,2006 - 2010,2010,9,-23.6633,146.9611,QLD,0.0321855,0.11977354,4.05294,0.249493548,0.031868454,0.003034837,10,2010,2010,306785.359,364.223114,BBN,Brigalow Belt North,NA,53.8,269,62.4,624,26.8,134,29.4,294,22.34265146,22.46027942,0.09193041,0.162275764,-0.082062217,0.25112782,-0.366917293,0.000162483
28,ANWC170,B55503,ANWC,ANWC170_R1.fastq.gz,33bce121-7fc3-42f8-be6a-2cddc2cb7b96,33bce121-7fc3-42f8-be6a-2cddc2cb7b96,B55503,F,Malurus assimilis,Purple-Backed Fairy Wren,1/11/10,2006 - 2010,2010,9,-23.8655,148.1329,QLD,0.123543,0.18210904,3.94099,0.197773976,0.029765066,-0.004843411,11,2010,2010,225641.663,237.5626984,BBN,Brigalow Belt North,NA,47,235,54.3,543,14.2,71,16.1,161,22.45206396,22.60640115,0.109548189,0.192643139,-0.067963159,-0.272932331,-0.34962406,0.000272123
29,ANWC66,B29336,ANWC,ANWC66_R1.fastq.gz,37bbed9c-2d6c-482e-813a-70bf7f75b747,37bbed9c-2d6c-482e-813a-70bf7f75b747,B29336,M,Malurus assimilis,Purple-Backed Fairy Wren,4/10/01,2001 - 2005,2001,18,-17.7333,139.5917,QLD,0.164405,0.20015351,2.14302,0.134319848,0.448190542,-0.727372476,10,2001,2001,24494.61165,2.078464031,GUP,Gulf Plains,NA,76,380,89.1,891,0,0,0,0,26.61861359,26.69348172,0.196911669,0.315482677,-0.075512801,-0.009774436,-2.545112782,0.0013459
30,ANWC71,B32011,ANWC,ANWC71_R1.fastq.gz,6c51d942-a3d7-405f-83ad-621941560e7e,6c51d942-a3d7-405f-83ad-621941560e7e,B32011,M,Malurus assimilis,Purple-Backed Fairy Wren,5/12/98,1996 - 2000,1998,21,-30.0419,144.7197,NSW,0.0171211,0.11933079,6.10962,-0.358249466,-0.25746012,-0.076586146,12,1998,1998,706738.9951,97.6648407,MUL,Mulga Lands,NA,73.4,367,74.2,742,53.6,268,48.3,483,20.49538764,20.63093867,0.047784588,0.113999684,-0.181686302,0.976691729,-0.151879699,0.000229994
31,ANWC72,B32773,ANWC,ANWC72_R1.fastq.gz,cbcb1fe5-d76d-4be0-8840-99e7be792b10,cbcb1fe5-d76d-4be0-8840-99e7be792b10,B32773,M,Malurus assimilis,Purple-Backed Fairy Wren,1/5/02,2001 - 2005,2002,17,-28.4108,134.1861,SA,0.0799029,0.12542631,3.0275,-0.115614786,-0.077226379,-0.029826812,5,2002,2002,420018.4383,256.7723083,STP,Stony Plains,NA,78.2,391,77.2,772,36.2,181,32.5,325,20.85815878,20.87814161,0.035813794,0.065223983,0.018092716,-0.176691729,0.72481203,0.000110516
32,ANWC73,B32774,ANWC,ANWC73_R1.fastq.gz,47ee8705-1866-4864-b083-d28442782c11,47ee8705-1866-4864-b083-d28442782c11,B32774,M,Malurus assimilis,Purple-Backed Fairy Wren,1/5/02,2001 - 2005,2002,17,-28.4108,134.1861,SA,0.0810872,0.12622817,2.86679,-0.125675687,-0.057596986,-0.023553983,5,2002,2002,420018.4383,256.7723083,STP,Stony Plains,NA,78.2,391,77.2,772,36.2,181,32.5,325,20.85815878,20.87814161,0.035813794,0.065223983,0.018092716,-0.176691729,0.72481203,0.000110516
33,ANWC75,B32845,ANWC,ANWC75_R1.fastq.gz,dcbe6937-5cef-40c6-a152-20213daefa6d,dcbe6937-5cef-40c6-a152-20213daefa6d,B32845,M,Malurus assimilis,Purple-Backed Fairy Wren,2/5/02,2001 - 2005,2002,17,-25.2233,133.115,NT,0.115538,0.12644482,2.51224,-0.050197779,-0.030185797,-0.0139165,5,2002,2002,725647.0622,414.2562866,FIN,Finke,NA,100,500,98.1,981,51.2,256,48.1,481,21.61466553,21.80651975,0.064636161,0.097194462,0.039343091,-0.80075188,1.24887218,0.00036341
34,ANWC77,B32899,ANWC,ANWC77_R1.fastq.gz,b1e87d74-340a-4a00-bcfb-7e3a3e85ffba,b1e87d74-340a-4a00-bcfb-7e3a3e85ffba,B32899,M,Malurus assimilis,Purple-Backed Fairy Wren,4/5/02,2001 - 2005,2002,17,-26.7461,125.5128,WA,0.0879682,0.13125929,2.99757,-0.270657684,-0.113852015,-0.037635095,5,2002,2002,613786.4567,433.6838074,GID,Gibson Desert,NA,92.4,462,89.6,896,48.6,243,46.3,463,21.56178586,21.48614021,0.054252493,0.096242282,-0.005447681,0.188721805,0.9,0.000390429
35,ANWC78,B33013,ANWC,ANWC78_R1.fastq.gz,NA,85782a2b-08aa-4cd0-a35a-d35e7d1c2873,NA,M,Malurus assimilis,Purple-Backed Fairy Wren,7/5/02,2001 - 2005,2002,17,-24.3267,119.6961,WA,0.0830137,0.36605814,7.69235,0.562507221,-0.022510767,0.053643821,5,2002,2002,453018.7961,619.2324219,GAS,Gascoyne,used data from other specimens from same location,101.2,506,107.7,1077,50,250,40.7,407,22.28850773,22.61213422,0.080500355,0.131456499,-0.043079049,1.166165414,-0.045864662,0.000531473
36,ANWC79,B33180,ANWC,ANWC79_R1.fastq.gz,d1d5769e-6375-48e8-bd9e-54cc31ccc4f3,d1d5769e-6375-48e8-bd9e-54cc31ccc4f3,B33180,M,Malurus assimilis,Purple-Backed Fairy Wren,13/5/02,2001 - 2005,2002,17,-22.9406,117.3889,WA,0.147578,0.1280131,2.17741,0.472955512,-0.009675253,0.013745562,5,2002,2002,247620.1026,389.6250916,PIL,Pilbara,NA,153.6,768,156.4,1564,2.6,13,1.4,14,25.2351565,25.47497169,0.069656064,0.123627559,-0.032892848,0.05037594,1.464661654,0.000304314
37,ANWC80,B33205,ANWC,ANWC80_R1.fastq.gz,335c819c-c4c8-47ca-807e-4e77af259314,335c819c-c4c8-47ca-807e-4e77af259314,B33205,M,Malurus assimilis,Purple-Backed Fairy Wren,14/5/02,2001 - 2005,2002,17,-22.0247,117.6447,WA,0.0783412,0.1246814,NA,-0.182904614,-0.053981081,1049661,5,2002,2002,144399.9979,418.3505859,PIL,Pilbara,NA,143,715,150.7,1507,0,0,0,0,25.49510282,25.81463976,0.098077051,0.175736682,-0.032464703,-0.027819549,0.882706767,0.000569928
38,ANWC81,B33369,ANWC,ANWC81_R1.fastq.gz,8e73faba-63d0-4cf9-993a-f9294e4c0dd1,8e73faba-63d0-4cf9-993a-f9294e4c0dd1,B33369,M,Malurus assimilis,Purple-Backed Fairy Wren,22/5/02,2001 - 2005,2002,17,-26.6267,113.8328,WA,0.0507814,0.25359157,5.67899,-0.416129238,-0.314161512,-0.100526294,5,2002,2002,4910,19.60143089,YAL,Yalgoo,NA,51.8,259,46.4,464,1.2,6,0.7,7,22.18058573,21.99623342,0.046379484,0.084048571,0.040392266,-0.015037594,1.179699248,2.52E-05
39,ANWC88,B46415,ANWC,ANWC88_R1.fastq.gz,3f662d5d-4589-4bc0-895c-4ea8e650d544,3f662d5d-4589-4bc0-895c-4ea8e650d544,B46415,M,Malurus assimilis,Purple-Backed Fairy Wren,19/10/94,1991 - 1995,1994,25,-34.6831,143.5511,NSW,0.247849,0.09887242,1.51901,-0.360136864,-0.116221719,-0.036045078,10,1994,1994,374081.3593,65.07148743,MDD,Murray Darling Depression,NA,26.6,133,26.3,263,NA,NA,NA,NA,16.83454658,16.79187237,0.069044616,0.116232567,-0.078498882,NA,-0.779699248,0.000156052
40,ANWC90,B46525,ANWC,ANWC90_R1.fastq.gz,NA,a1e34fec-4d3e-4629-b403-b9b0cfea4ad6,NA,M,Malurus assimilis,Purple-Backed Fairy Wren,22/10/94,1991 - 1995,1994,25,-34.9519,137.4006,SA,0.153398,0.19076084,2.25873,0.555872772,-0.011683547,0.029408714,10,1994,1994,4910,3.629498959,EYB,Eyre Yorke Block,used data from other specimens from same location,5.6,28,8,80,NA,NA,NA,NA,16.73471283,16.66832599,0.083900298,0.140501013,-0.028411476,NA,0.008270677,0.000292885
41,ANWC92,B46574,ANWC,ANWC92_R1.fastq.gz,d364ab15-67a3-4a92-a4c5-20f07bec14f3,d364ab15-67a3-4a92-a4c5-20f07bec14f3,B46574,M,Malurus assimilis,Purple-Backed Fairy Wren,23/10/94,1991 - 1995,1994,25,-35.125,137.1958,SA,0.131979,0.37015358,3.34417,0.594138094,-0.014325232,0.03369197,10,1994,1994,7455.212941,52.18511963,EYB,Eyre Yorke Block,NA,3.4,17,4.1,41,NA,NA,NA,NA,16.11662605,16.0444161,0.101225469,0.171818475,-0.024596046,NA,-0.032330827,0.000308607
42,ANWC94,B46630,ANWC,ANWC94_R1.fastq.gz,c1e54fa6-01f0-4547-b7e8-d2d319ab5662,c1e54fa6-01f0-4547-b7e8-d2d319ab5662,B46630,F,Malurus assimilis,Purple-Backed Fairy Wren,26/10/94,1991 - 1995,1994,25,-33.5,138.0639,SA,0.127943,0.09573478,2.27543,0.474463927,-0.015300604,0.029522698,10,1994,1994,14730,28.24226952,EYB,Eyre Yorke Block,NA,28.8,144,30,300,27.8,139,29.1,291,17.80944299,17.68378566,0.078798119,0.130701447,-0.037101166,0.353383459,0.104511278,0.000311671
43,SAM11,ABTC37966,ABTC,SAM11_R1.fastq.gz,5c22a590-d782-4ed5-b5bb-a89a002ee546,5c22a590-d782-4ed5-b5bb-a89a002ee546,ABTC37966,F,Malurus assimilis,Purple-Backed Fairy Wren,18/9/97,1996 - 2000,1997,22,-26.5778,137.0925,SA,0.17457,0.10056274,1.85646,0.020464234,-0.022123427,-0.010899507,9,1997,1997,679679.5664,39.117939,SSD,Simpson Strzelecki Dunefields,NA,108.6,543,116.9,1169,29.2,146,29.9,299,22.7747934,22.96894599,0.022794202,0.047579242,-0.0775813,0.153383459,-0.644360902,-4.19E-05
44,SAM12,ABTC37976,ABTC,SAM12_R1.fastq.gz,c33fb6dc-a83c-421f-8c89-73a566abe7b9,c33fb6dc-a83c-421f-8c89-73a566abe7b9,ABTC37976,F,Malurus assimilis,Purple-Backed Fairy Wren,21/9/97,1996 - 2000,1997,22,-26.1936,136.7694,SA,0.169495,0.09978431,1.87175,0.024181133,-0.012164843,-0.009376635,9,1997,1997,726499.4735,60.87197876,SSD,Simpson Strzelecki Dunefields,NA,108.2,541,116.6,1166,30.8,154,32.1,321,22.71709671,22.89190651,0.023441914,0.048949197,-0.07423256,0.008270677,-0.776691729,-5.48E-05
45,SAM14,ABTC38801,ABTC,SAM14_R1.fastq.gz,aa1d807b-e325-41ad-ad73-fb85dd3239d5,aa1d807b-e325-41ad-ad73-fb85dd3239d5,ABTC38801,M,Malurus assimilis,Purple-Backed Fairy Wren,11/9/98,1996 - 2000,1998,21,-26.0417,137.6036,SA,0.104195,0.12666239,2.55561,0.008178211,-0.011491343,-0.00936906,9,1998,1998,734975.6054,26.7509594,SSD,Simpson Strzelecki Dunefields,NA,121.2,606,123.2,1232,29.4,147,29.2,292,23.19588622,23.25253764,0.022932334,0.052248101,-0.067943752,0.395488722,-0.527067669,5.71E-06
